,en,vn,thailand,indonesia
stock_issue.question,Which warehouse would you like to export?,Bạn muốn xuất hàng từ kho nào?,คุณต้องการส่งของออกจากคลังสินค้าใด,Anda ingin mengekspor barang dari Stok yang mana ?
stock_issue.status,Status,Trạng thái,สถานะ,Status
products.product,Product,Sản phẩm,สินค้า,Produk
products.search_product,Search product,Tìm kiếm sản phẩm,ค้นหาสินค้า,Cari produk
products.search_sku,Search sku,Tìm kiếm sku,ค้นหา sku,Cari sku
products.instock,In stock,Tồn kho,สินค้าคงคลัง,Inventaris
products.invoices,Invoices,Trong phiếu xuất,ในใบส่งของ,Dalam tagihan ekspor
products.products,Products,Danh sách sản phẩm,รายการสินค้า,Daftar produk
products.result_product,Found no record,Không có sản phẩm nào,ไม่มีสินค้า,Tidak ada produk
products.result_sku,Found no record,Không có sku nào,ไม่มี sku,Tidak ada sku
products.variant,Variant,Biến thể,ตัวแปร,Varian
products.manufactory,Manufactory,Nhà sản xuất,ผู้ผลิต,Pabrik
products.vendor,Vendor,Đối tác,พันธมิตร,Pasangan
products.status,Status,Trạng thái,สถานะ,Status
products.add_user,Add User,Thêm nhân viên,พนักงานเพิ่มเติม,Tambahkan staf
products.permission,Permission,Phân quyền,การกระจายอำนาจ,Desentralisasi
products.properties,Properties,Thuộc tính,คุณสมบัติ,Kuantitas
products.name_length,The length of name field maximum 160 characters,Độ dài tên tối đa 160 ký tự,ชื่อยาวสูงสุด 160 ตัวอักษร,Nama panjang  maksimum 160 karakter
products.code_length,The length of code field maximum 160 characters,Độ dài code tối đa 160 ký tự,ความยาวรหัสสูงสุด 160 ตัวอักษร,Kode panjang maksimum 160 karakter
products.price_length,The length of price field maximum 6 characters,Độ dài giá tiền tối đa 6 ký tự,ความยาวราคาสูงสุด 6 ตัวอักษร,Harga panjang  maksimum 6 karakter
products.manufactory_length,The length of manufactory field maximum 160 characters,Độ dài nhà sản xuất tối đa 160 ký tự,ผู้ผลิตความยาวสูงสุด 160 ตัวอักษร,Nama pabrikan panjang maksimum 160 karakter
products.msg_require_select_vendor,Please select a vendor for this action,Vui lòng chọn một đối tác trước khi thực hiện thao tác này,โปรดเลือกพันธมิตรก่อนดำเนินการนี้,Silakan pilih cara yang dulu sebelum melakukan operasi ini
products.selling,Selling status,Trạng thái bán,สถานะการขาย,Status penjualan
products.add_group,Add Group,Thêm nhóm,เพิ่มกลุ่ม,Tambahkan grup
products.group_id,Group id,Id nhóm,รหัสกลุ่ม,ID grup
products.group_name,Group name,Tên nhóm,ชื่อกลุ่ม,Nama grup
products.group_added,Group added,Nhóm đã được thêm,เพิ่มกลุ่มแล้ว,Grup telah ditambahkan
products.added_by,Added by,Được thêm bởi,เพิ่มโดย,Deskripsi oleh
products.added_at,Added at,Được thêm lúc,เพิ่มโดยเวลา,Ditambahkan pada waktu
products.name_or_code,Name/Code,Tên/Mã,ชื่อ/รหัส,Nama /kode
products.created_by,Created by,Người tạo,ผู้สร้าง,Orang dibuat
products.created_at,Created At,Thời gian tạo,Created At,Created At
products.name,Name,Tên,ชื่อ,Nama
products.code,Code,Mã,รหัส,Kode
products.description,Description,Mô tả,อธิบาย,Menggambarkan
products.price,Unit price,Giá,ราคา,Harga
products.sell_status,Sell status,Trạng thái bán,สถานะการขาย,Status penjualan
products.select_all,Select all,Chọn tất cả,เลือกทั้งหมด,Pilih Semua
products.active,Active,Kích hoạt,เปิดใช้งานแล้ว,Diaktifkan
products.inactive,Inactive,Ngưng kích hoạt,ปิดการใช้งาน,Berhenti aktifkan
products.enter_attr_key,Enter attribute name ,Nhập tên thuộc tính,ใส่ชื่อคุณสมบัติ,Masukkan nama kuantitas
products.enter_name,Enter name,Nhập tên,ใส่ชื่อ,Masukkan nama
products.enter_manufactory,Enter manufactory,Nhập nhà sản xuất,ใส่ผู้ผลิต,Masukkan nama pabrik
products.enter_code,Enter code,Nhập mã,ใส่รหัส,Masukan kode
products.enter_description,Enter description,Nhập mô tả,ใส่คำอธิบาย,Masukkan deskripsi
products.enter_price,Enter price,Nhập giá,ใส่ราคา,Masukkan harga
products.enter_attr_value,Enter attribute value,Nhập giá trị thuộc tính,ใส่ค่าคุณสมบัติ,Masukkan nilai kuantitas
products.select_group,Select group,Chọn nhóm,เลือกกลุ่ม,Pilih grup
products.page_title,Add product,Thêm sản phẩm,เพิ่มสินค้า,Produk lainnya
products.page_edit_title,Edit product,Sửa sản phẩm,แก้ไขสินค้า,Mengedit produk
products.vendor_code,Code,Mã,รหัส,Kode
products.vendor_name,Name,Tên,ชื่อ,Nama
products.vendor_owner,Manager,Quản lý,ผู้จัดการ,Menejemen
products.vendor_created_at,Created at,Ngày tạo,วันที่สร้าง,Orang dibuat
products.add_vendor,Add vendor,Thêm vendor,เพิ่มผู้ขาย,Tambahkan vendor
products.select_vendor,Select vendor,Chọn vendor,เลือกผู้ขาย,Pilih vendor
products.confirm_remove_vendor,Are you sure you want to perform this action?,Bạn có chắc chắn muốn thực hiện thao tác này,คุณแน่ใจหรือไม่ว่าต้องการดำเนินการนี้,Apakah Anda yakin ingin melakukan ini?
products.remove_vendor_success,Removed successfully,Xóa vendor thành công,ลบผู้ขายเรียบร้อยแล้ว,Hapus vendor berhasil
products.add_vendor_success,Added successfully,Thêm vendor thành công,เพิ่มผู้ขายเรียบร้อยแล้ว,Menambahkan vendor berhasil 
products.local_name,Local name,Tên địa phương,ชื่อท้องถิ่น,Nama Panggilan
products.search_name_code,Product Name/Code,Tên/ Mã sản phẩm,Product Name/Code,Product Name/Code
products.search_name_code_sku_pl,Search Product Name/Code/SKU,Tìm kiếm theo Tên sản phẩm/Mã sản phẩm/SKU,Search Product Name/Code/SKU,Search Product Name/Code/SKU
products.group,Category,Nhóm sản phẩm,Category,Category
products.sku_quantity,SKU Quantity,Số lượng SKU,SKU Quantity,SKU Quantity
products.campaign_quantity,Campaign Quantity,Số lượng chiến dịch,Campaign Quantity,Campaign Quantity
product.categories,Category,Loại sản phẩm,Category,Category
product.category,Category,Loại sản phẩm,Category,Category
product.sku_pl,Enter SKU code,Nhập mã SKU,Enter SKU code,Enter SKU code
message_add_contact.exist_product,Contact already exists. Do you want to continue?,Contact đã tồn tại trên hệ thống. Bạn có muốn tiếp tục?,ผู้ติดต่อมีอยู่แล้วในระบบ คุณต้องการดำเนินการต่อหรือไม่,Kontak sudah ada di sistem. Apakah Anda ingin melanjutkan?
message_add_contact.title,Notice,Thông báo,การแจ้งเตือน,Pemberitahuan
stock_receipt.select_product,Select product,Chọn sản phẩm,เลือกสินค้า,Pilih produk
stock_receipt.add_product,Add Product,Thêm sản phẩm,เพิ่มสินค้า,Produk lainnya
stock_receipt.title,Stock receipt,Danh sách phiếu nhập,รายการใบรับของ,Daftar tagihan masuk
stock_receipt.stock_receipt,STOCK RECEIPTS,Phiếu nhập,ใบรับของ,Tagihan masuk
stock_receipt.filter_result,Found no record,Không có phiếu nhập kho nào,ไม่มีใบรับของ,Tidak dapatkan tagihan masuk stock
stock_receipt.created_by,Created by,Người tạo,ผู้สร้าง,Orang Dibuat
stock_receipt.created_at,Created at,Ngày tạo,วันที่สร้าง,Tanggal Dibuat
stock_receipt.status,Status,Trạng thái,สถานะ,Status
stock_receipt.add_stock_receipt,Add Stock Receipts,Thêm phiếu nhập,เพิ่มใบรับของ,Tambahkan tagihan masuk
stock_receipt.new,New,Mới,ใหม่,Baru
stock_receipt.done,Done,Hoàn thành,เสร็จสิ้น,Selesai
stock_receipt.processing,Processing,Đang xử lý,กำลังดำเนินการ,Sedang proses
stock_receipt.search_id,Search Code,Tìm kiếm mã,ค้นหารหัส,Cari kode
stock_receipt.id,StockReceipt Code,Mã phiếu nhập,รหัสใบรับของ,Kode tagihan masuk
stock_receipt.clear_filter,Clear all filters,Xóa bộ lọc,ลบฟิลเตอร์,Hapus filter
stock_receipt.product,product,sản phẩm,สินค้า,Produk
stock_receipt.products,products,sản phẩm,สินค้า,Produk
stock_receipt.receipt_type,Receipt Type,Loại nhập,ประเภทอินพุต,Jenis masukan
stock_receipt.question,Which warehouse would you like to import?,Bạn muốn nhập hàng vào kho nào?,คุณต้องการนำเข้าสินค้าเข้าในคลังสินค้าใด,Di gudang mana Anda ingin masukan barang?
stock_receipt.validate_sku,Please enter at least the price and quantity of 1 property,Vui lòng nhập tối thiểu giá và số lượng của 1 thuộc tính,กรุณาใส่ราคาขั้นต่ำและจำนวน 1 คุณสมบัติ,Silakan masukkan harga dan jumlah minimum dalam 1 kuantitas
receipt_type.INTERNAL,Internal,Nhập nội bộ,นำเข้าภายใน,Impor Pribadi
receipt_type.EXTERNAL,External,Nhập ngoài,นำเข้าภายนอก,Impor dari keluar
import_tracking_more.title,Import tracking number,Nhập mã vận chuyển,ใส่รหัสการจัดส่ง,Masukkan kode pengiriman
import_tracking_more.select_carrier,Select Carrier,Chọn đơn vị vận chuyển,เลือกหน่วยจัดส่ง,Pilih pihak pengiriman
import_tracking_more.download,Download example file,Tải file mẫu,ดาวน์โหลดไฟล์ตัวอย่าง,Unduh file sampel
import_tracking_more.upload,Choose file,Chọn file,เลือกไฟล์,Pilih file
add_product_popup.unitprice,Unit price,Giá đề nghị,ราคาแนะนำ,Harga yang disarankan
add_product_popup.note,Add properties if the product has multiple properties,Thêm thuộc tính nếu sản phẩm có nhiều thuộc tính,เพิ่มคุณสมบัติหากผลิตภัณฑ์มีหลายคุณสมบัติ,Tambahkan kuantitas jika produk memiliki banyak kuantitas
add_product_popup.detail_property,Detail,Chi tiết thuộc tính,รายละเอียดคุณสมบัติ,Rincian Kuantitas
receipt_reload.content,You have unsaved changes. Would you like to continue?,Bạn chưa lưu các thay đổi. Bạn có muốn tiếp tục?,คุณยังไม่ได้บันทึกการเปลี่ยนแปลง คุณต้องการดำเนินการต่อหรือไม่,Anda belum menyimpan perubahan. Apakah Anda ingin melanjutkan?
add_product.exist_user,User is already added,Nhân viên đã được thêm trước đó,พนักงานได้เพิ่มก่อนหน้านี้,Karyawan telah ditambahkan sebelumnya
add_product.exist_product,Product is existed,Sản phẩm đã tồn tại,สินค้ามีอยู่แล้ว,Produk sudah ada
group_user.header,GROUPS,NHÓM NHÂN VIÊN,ทีมพนักงาน,GRUP KARYAWAN
